process,systematic,variation,bin,edge_lo,edge_hi,value
Other,Higgs_CMS_eff_e_reco_20to75,Up,11,0.006105206239196243,0.007522517248260182,0.09763046510172291
Other,Higgs_CMS_eff_e_reco_20to75,Up,12,0.007522517248260182,0.009719243336259968,0.11966882829472636
Other,Higgs_CMS_eff_e_reco_20to75,Up,13,0.009719243336259968,0.013643487834444395,0.20904534450835022
Other,Higgs_CMS_eff_e_reco_20to75,Up,14,0.013643487834444395,0.022087249077993153,0.6914588149426698
Other,Higgs_CMS_eff_e_reco_20to75,Up,15,0.022087249077993153,0.04393358703334,2.4957294866445725
Other,Higgs_CMS_eff_e_reco_20to75,Up,16,0.04393358703334,0.10073404070562539,5.53397415619454
Other,Higgs_CMS_eff_e_reco_20to75,Up,17,0.10073404070562539,0.23767632438315117,8.947352730168001
Other,Higgs_CMS_eff_e_reco_20to75,Up,18,0.23767632438315117,0.4957539730742803,14.026690317917488
Other,Higgs_CMS_eff_e_reco_20to75,Up,19,0.4957539730742803,1.0,23.19748209824448
Other,Higgs_CMS_eff_e_reco_above75,Down,0,0.0,0.0009567917389306952,0.02052685065815397
Other,Higgs_CMS_eff_e_reco_above75,Down,1,0.0009567917389306952,0.0011761846848516988,0.023112204761522207
Other,Higgs_CMS_eff_e_reco_above75,Down,2,0.0011761846848516988,0.0014056492364034057,0.027838149379129026
Other,Higgs_CMS_eff_e_reco_above75,Down,3,0.0014056492364034057,0.0016879615058736856,0.031648579611216296
Other,Higgs_CMS_eff_e_reco_above75,Down,4,0.0016879615058736856,0.002029518495153339,0.03652263291478865
Other,Higgs_CMS_eff_e_reco_above75,Down,5,0.002029518495153339,0.0024498090280613213,0.048606148257218845
Other,Higgs_CMS_eff_e_reco_above75,Down,6,0.0024498090280613213,0.0029563838476912704,0.0599561665404188
Other,Higgs_CMS_eff_e_reco_above75,Down,7,0.0029563838476912704,0.003557510286689314,0.06645184492590725
Other,Higgs_CMS_eff_e_reco_above75,Down,8,0.003557510286689314,0.004267894997991053,0.07501822358801874
Other,Higgs_CMS_eff_e_reco_above75,Down,9,0.004267894997991053,0.0050779368864586815,0.08088379294269432
Other,Higgs_CMS_eff_e_reco_above75,Down,10,0.0050779368864586815,0.006105206239196243,0.08319696663722753
Other,Higgs_CMS_eff_e_reco_above75,Down,11,0.006105206239196243,0.007522517248260182,0.09630133122021012
Other,Higgs_CMS_eff_e_reco_above75,Down,12,0.007522517248260182,0.009719243336259968,0.11801829445770007
Other,Higgs_CMS_eff_e_reco_above75,Down,13,0.009719243336259968,0.013643487834444395,0.2058150864288062
Other,Higgs_CMS_eff_e_reco_above75,Down,14,0.013643487834444395,0.022087249077993153,0.6774385223729888
Other,Higgs_CMS_eff_e_reco_above75,Down,15,0.022087249077993153,0.04393358703334,2.44796729710158
Other,Higgs_CMS_eff_e_reco_above75,Down,16,0.04393358703334,0.10073404070562539,5.440129136411519
Other,Higgs_CMS_eff_e_reco_above75,Down,17,0.10073404070562539,0.23767632438315117,8.823232538457486
Other,Higgs_CMS_eff_e_reco_above75,Down,18,0.23767632438315117,0.4957539730742803,13.856580642079145
Other,Higgs_CMS_eff_e_reco_above75,Down,19,0.4957539730742803,1.0,22.963340818998084
Other,Higgs_CMS_eff_e_reco_above75,Up,0,0.0,0.0009567917389306952,0.020529377483579022
Other,Higgs_CMS_eff_e_reco_above75,Up,1,0.0009567917389306952,0.0011761846848516988,0.023125792280340004
Other,Higgs_CMS_eff_e_reco_above75,Up,2,0.0011761846848516988,0.0014056492364034057,0.027863219809676078
Other,Higgs_CMS_eff_e_reco_above75,Up,3,0.0014056492364034057,0.0016879615058736856,0.031695579654406406
Other,Higgs_CMS_eff_e_reco_above75,Up,4,0.0016879615058736856,0.002029518495153339,0.036608259828119064
Other,Higgs_CMS_eff_e_reco_above75,Up,5,0.002029518495153339,0.0024498090280613213,0.048719588767391936
Other,Higgs_CMS_eff_e_reco_above75,Up,6,0.0024498090280613213,0.0029563838476912704,0.060136033143330964
Other,Higgs_CMS_eff_e_reco_above75,Up,7,0.0029563838476912704,0.003557510286689314,0.06668877047170324
Other,Higgs_CMS_eff_e_reco_above75,Up,8,0.003557510286689314,0.004267894997991053,0.07531013711633494
Other,Higgs_CMS_eff_e_reco_above75,Up,9,0.004267894997991053,0.0050779368864586815,0.08114542935752894
Other,Higgs_CMS_eff_e_reco_above75,Up,10,0.0050779368864586815,0.006105206239196243,0.08356495786610085
Other,Higgs_CMS_eff_e_reco_above75,Up,11,0.006105206239196243,0.007522517248260182,0.09674257643708462
Other,Higgs_CMS_eff_e_reco_above75,Up,12,0.007522517248260182,0.009719243336259968,0.11867085971188462
Other,Higgs_CMS_eff_e_reco_above75,Up,13,0.009719243336259968,0.013643487834444395,0.2080767861999131
